picked_flowers_1,picked_flowers_2,picked_flowers_3,picked_flowers_4,picked_flowers_5,picked_flowers_6,picked_flowers_7,picked_flowers_8,picked_flowers_9,picked_flowers_10,picked_flowers_11,picked_flowers_12,picked_flowers_13,picked_flowers_14,picked_flowers_15,picked_flowers_16,picked_flowers_17,picked_flowers_18,picked_flowers_19,picked_flowers_20,picked_flowers_21,picked_flowers_22,picked_flowers_23,picked_flowers_24
-0.0019,-0.002,-0.0022,-0.002,-0.0021,-0.002,0.0126,0.0124,0.0124,0.0124,0.0122,0.0125,-0.0004,-0.0006,-0.0005,-0.0006,-0.0004,-0.0005,0.001,0.0009,0.0008,0.0006,0.0006,0.0006
-0.0019,-0.002,-0.0022,-0.002,-0.0021,-0.002,0.0126,0.0124,0.0124,0.0124,0.0122,0.0125,-0.0004,-0.0006,-0.0005,-0.0006,-0.0004,-0.0005,0.001,0.0009,0.0008,0.0007,0.0006,0.0006
-0.0019,-0.002,-0.0022,-0.002,-0.0021,-0.002,0.0126,0.0124,0.0124,0.0124,0.0122,0.0125,-0.0004,-0.0006,-0.0005,-0.0005,-0.0004,-0.0005,0.001,0.001,0.0008,0.0007,0.0006,0.0006
-0.0019,-0.002,-0.0022,-0.002,-0.0021,-0.002,0.0126,0.0125,0.0124,0.0124,0.0123,0.0125,-0.0004,-0.0006,-0.0005,-0.0005,-0.0004,-0.0004,0.001,0.001,0.0008,0.0007,0.0006,0.0006
-0.0019,-0.002,-0.0022,-0.002,-0.0021,-0.002,0.0126,0.0125,0.0124,0.0124,0.0123,0.0125,-0.0004,-0.0006,-0.0005,-0.0005,-0.0004,-0.0004,0.001,0.001,0.0008,0.0007,0.0006,0.0006
-0.0019,-0.002,-0.0022,-0.002,-0.0021,-0.002,0.0126,0.0125,0.0124,0.0124,0.0123,0.0125,-0.0004,-0.0006,-0.0005,-0.0005,-0.0004,-0.0005,0.001,0.0009,0.0008,0.0007,0.0006,0.0006
-0.0019,-0.002,-0.0022,-0.002,-0.0021,-0.002,0.0126,0.0125,0.0124,0.0124,0.0123,0.0125,-0.0004,-0.0006,-0.0005,-0.0006,-0.0004,-0.0005,0.001,0.0009,0.0008,0.0006,0.0006,0.0006
-0.0019,-0.002,-0.0022,-0.002,-0.0021,-0.002,0.0126,0.0125,0.0124,0.0124,0.0123,0.0125,-0.0004,-0.0006,-0.0005,-0.0006,-0.0004,-0.0005,0.001,0.0009,0.0008,0.0006,0.0006,0.0006
-0.0019,-0.002,-0.0022,-0.0021,-0.0021,-0.002,0.0126,0.0125,0.0124,0.0124,0.0123,0.0125,-0.0004,-0.0006,-0.0005,-0.0006,-0.0004,-0.0005,0.001,0.0009,0.0008,0.0006,0.0006,0.0006
-0.0019,-0.002,-0.0022,-0.0021,-0.0021,-0.002,0.0126,0.0125,0.0124,0.0124,0.0123,0.0125,-0.0004,-0.0006,-0.0005,-0.0006,-0.0004,-0.0005,0.001,0.0009,0.0008,0.0006,0.0006,0.0006
-0.0019,-0.002,-0.0022,-0.0021,-0.0021,-0.002,0.0126,0.0125,0.0125,0.0124,0.0123,0.0126,-0.0004,-0.0006,-0.0005,-0.0005,-0.0004,-0.0005,0.001,0.0009,0.0008,0.0007,0.0006,0.0006
-0.0019,-0.002,-0.0022,-0.0021,-0.0021,-0.002,0.0126,0.0125,0.0125,0.0124,0.0123,0.0126,-0.0004,-0.0006,-0.0005,-0.0005,-0.0004,-0.0005,0.001,0.001,0.0008,0.0007,0.0006,0.0006
-0.0019,-0.002,-0.0022,-0.002,-0.0021,-0.002,0.0126,0.0125,0.0125,0.0125,0.0123,0.0126,-0.0004,-0.0006,-0.0005,-0.0005,-0.0004,-0.0005,0.001,0.001,0.0008,0.0007,0.0006,0.0006
-0.0019,-0.002,-0.0022,-0.002,-0.0021,-0.002,0.0126,0.0125,0.0125,0.0124,0.0123,0.0126,-0.0004,-0.0006,-0.0005,-0.0006,-0.0004,-0.0005,0.001,0.0009,0.0008,0.0007,0.0006,0.0006
-0.0019,-0.002,-0.0022,-0.002,-0.0021,-0.002,0.0126,0.0125,0.0125,0.0124,0.0123,0.0126,-0.0004,-0.0006,-0.0005,-0.0006,-0.0004,-0.0005,0.001,0.0009,0.0008,0.0007,0.0006,0.0006
-0.0019,-0.002,-0.0022,-0.002,-0.0021,-0.002,0.0126,0.0125,0.0125,0.0124,0.0123,0.0126,-0.0004,-0.0006,-0.0005,-0.0006,-0.0004,-0.0005,0.001,0.0009,0.0008,0.0007,0.0006,0.0006
-0.0019,-0.002,-0.0022,-0.002,-0.0021,-0.002,0.0126,0.0125,0.0125,0.0124,0.0123,0.0126,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0005,0.001,0.001,0.0008,0.0007,0.0006,0.0006
-0.0019,-0.002,-0.0022,-0.002,-0.0021,-0.002,0.0126,0.0125,0.0125,0.0125,0.0123,0.0126,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0004,0.001,0.001,0.0008,0.0007,0.0006,0.0007
-0.0019,-0.002,-0.0022,-0.002,-0.0021,-0.002,0.0126,0.0125,0.0125,0.0125,0.0123,0.0126,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0004,0.001,0.001,0.0008,0.0007,0.0006,0.0007
-0.0019,-0.002,-0.0022,-0.0021,-0.0021,-0.002,0.0126,0.0125,0.0125,0.0124,0.0123,0.0126,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0004,0.001,0.001,0.0008,0.0007,0.0006,0.0007
-0.0019,-0.002,-0.0022,-0.0021,-0.0021,-0.002,0.0126,0.0125,0.0125,0.0124,0.0123,0.0126,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0005,0.001,0.001,0.0008,0.0007,0.0006,0.0007
-0.0019,-0.002,-0.0022,-0.0021,-0.0021,-0.002,0.0126,0.0125,0.0125,0.0124,0.0123,0.0126,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0004,0.001,0.001,0.0008,0.0007,0.0006,0.0007
-0.0019,-0.002,-0.0022,-0.0021,-0.0021,-0.002,0.0126,0.0125,0.0125,0.0124,0.0123,0.0126,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0004,0.001,0.001,0.0008,0.0007,0.0006,0.0007
-0.0019,-0.002,-0.0022,-0.0021,-0.0021,-0.002,0.0126,0.0125,0.0125,0.0125,0.0123,0.0126,-0.0004,-0.0005,-0.0004,-0.0005,-0.0004,-0.0004,0.001,0.001,0.0008,0.0007,0.0006,0.0007
-0.0019,-0.002,-0.0022,-0.0021,-0.0021,-0.002,0.0126,0.0125,0.0125,0.0125,0.0123,0.0126,-0.0004,-0.0005,-0.0004,-0.0005,-0.0004,-0.0004,0.001,0.001,0.0008,0.0007,0.0006,0.0007
-0.0019,-0.002,-0.0022,-0.002,-0.0021,-0.002,0.0126,0.0125,0.0125,0.0125,0.0123,0.0126,-0.0004,-0.0005,-0.0004,-0.0005,-0.0004,-0.0004,0.001,0.001,0.0008,0.0007,0.0007,0.0007
-0.0019,-0.002,-0.0022,-0.0021,-0.0021,-0.002,0.0126,0.0125,0.0125,0.0125,0.0123,0.0126,-0.0004,-0.0005,-0.0004,-0.0005,-0.0004,-0.0004,0.001,0.001,0.0008,0.0007,0.0007,0.0007
-0.0019,-0.002,-0.0022,-0.0021,-0.0021,-0.002,0.0126,0.0125,0.0125,0.0125,0.0124,0.0126,-0.0004,-0.0005,-0.0004,-0.0005,-0.0004,-0.0004,0.001,0.001,0.0008,0.0007,0.0007,0.0007
-0.0019,-0.002,-0.0022,-0.0021,-0.0021,-0.002,0.0127,0.0125,0.0125,0.0125,0.0124,0.0126,-0.0004,-0.0005,-0.0004,-0.0005,-0.0004,-0.0004,0.001,0.001,0.0008,0.0007,0.0007,0.0007
-0.0019,-0.002,-0.0022,-0.0021,-0.0021,-0.002,0.0127,0.0125,0.0125,0.0125,0.0124,0.0126,-0.0004,-0.0005,-0.0004,-0.0005,-0.0004,-0.0004,0.001,0.001,0.0008,0.0007,0.0006,0.0007
-0.0019,-0.002,-0.0022,-0.0021,-0.0021,-0.002,0.0126,0.0125,0.0125,0.0125,0.0124,0.0126,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0004,0.001,0.001,0.0008,0.0007,0.0006,0.0007
-0.0019,-0.002,-0.0022,-0.0021,-0.0021,-0.002,0.0126,0.0125,0.0125,0.0125,0.0123,0.0126,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0004,0.001,0.001,0.0008,0.0007,0.0006,0.0006
-0.0019,-0.002,-0.0022,-0.002,-0.0021,-0.002,0.0126,0.0125,0.0125,0.0125,0.0123,0.0126,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0004,0.001,0.001,0.0008,0.0007,0.0006,0.0006
-0.0019,-0.002,-0.0022,-0.002,-0.0021,-0.0019,0.0126,0.0125,0.0125,0.0125,0.0124,0.0126,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0004,0.001,0.001,0.0008,0.0007,0.0006,0.0006
-0.0019,-0.002,-0.0022,-0.002,-0.0021,-0.0019,0.0127,0.0125,0.0125,0.0125,0.0124,0.0126,-0.0004,-0.0005,-0.0005,-0.0006,-0.0004,-0.0005,0.001,0.0009,0.0008,0.0007,0.0006,0.0006
-0.0019,-0.002,-0.0022,-0.002,-0.0021,-0.0019,0.0127,0.0125,0.0125,0.0125,0.0124,0.0126,-0.0004,-0.0005,-0.0005,-0.0006,-0.0004,-0.0005,0.001,0.0009,0.0008,0.0007,0.0006,0.0006
-0.0019,-0.002,-0.0022,-0.0021,-0.0021,-0.002,0.0127,0.0126,0.0126,0.0125,0.0124,0.0127,-0.0004,-0.0006,-0.0005,-0.0006,-0.0004,-0.0005,0.001,0.0009,0.0008,0.0007,0.0006,0.0006
-0.0019,-0.002,-0.0022,-0.0021,-0.0021,-0.002,0.0127,0.0126,0.0126,0.0126,0.0124,0.0127,-0.0004,-0.0006,-0.0005,-0.0006,-0.0005,-0.0005,0.001,0.0009,0.0008,0.0007,0.0006,0.0006
-0.0019,-0.002,-0.0022,-0.0021,-0.0021,-0.002,0.0127,0.0126,0.0126,0.0126,0.0125,0.0127,-0.0004,-0.0006,-0.0005,-0.0006,-0.0005,-0.0005,0.001,0.0009,0.0008,0.0007,0.0006,0.0006
-0.0019,-0.002,-0.0022,-0.0021,-0.0021,-0.002,0.0128,0.0126,0.0126,0.0126,0.0125,0.0127,-0.0004,-0.0006,-0.0005,-0.0006,-0.0004,-0.0005,0.001,0.001,0.0008,0.0008,0.0007,0.0006
-0.0019,-0.002,-0.0022,-0.0021,-0.0021,-0.002,0.0128,0.0126,0.0126,0.0126,0.0125,0.0128,-0.0004,-0.0006,-0.0005,-0.0005,-0.0004,-0.0005,0.001,0.001,0.0009,0.0008,0.0007,0.0006
-0.0019,-0.002,-0.0022,-0.0021,-0.0021,-0.002,0.0128,0.0126,0.0126,0.0126,0.0125,0.0128,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0005,0.001,0.001,0.0009,0.0008,0.0007,0.0007
-0.0019,-0.002,-0.0022,-0.002,-0.0021,-0.002,0.0128,0.0126,0.0126,0.0126,0.0125,0.0128,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0005,0.001,0.001,0.0009,0.0008,0.0007,0.0007
-0.0018,-0.002,-0.0022,-0.002,-0.0021,-0.002,0.0128,0.0126,0.0126,0.0126,0.0125,0.0128,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0004,0.001,0.001,0.0009,0.0008,0.0008,0.0007
-0.0018,-0.002,-0.0021,-0.002,-0.0021,-0.002,0.0128,0.0126,0.0126,0.0126,0.0125,0.0128,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0005,0.001,0.001,0.0009,0.0008,0.0007,0.0007
-0.0018,-0.002,-0.0021,-0.002,-0.0021,-0.0019,0.0128,0.0126,0.0126,0.0126,0.0125,0.0128,-0.0004,-0.0006,-0.0005,-0.0006,-0.0004,-0.0005,0.001,0.001,0.0009,0.0008,0.0007,0.0006
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0128,0.0126,0.0126,0.0126,0.0125,0.0127,-0.0004,-0.0006,-0.0005,-0.0006,-0.0005,-0.0005,0.001,0.001,0.0008,0.0008,0.0007,0.0006
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0128,0.0126,0.0126,0.0126,0.0125,0.0128,-0.0004,-0.0006,-0.0005,-0.0006,-0.0005,-0.0005,0.001,0.001,0.0008,0.0008,0.0007,0.0006
-0.0018,-0.0019,-0.0022,-0.002,-0.0021,-0.0019,0.0128,0.0126,0.0126,0.0126,0.0125,0.0128,-0.0004,-0.0005,-0.0005,-0.0006,-0.0004,-0.0005,0.001,0.001,0.0008,0.0008,0.0007,0.0006
-0.0018,-0.002,-0.0022,-0.002,-0.0021,-0.0019,0.0128,0.0126,0.0126,0.0126,0.0125,0.0127,-0.0004,-0.0005,-0.0005,-0.0006,-0.0004,-0.0005,0.001,0.001,0.0008,0.0008,0.0007,0.0007
-0.0018,-0.002,-0.0022,-0.002,-0.0021,-0.0019,0.0127,0.0126,0.0126,0.0126,0.0124,0.0127,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0004,0.001,0.001,0.0008,0.0008,0.0007,0.0007
-0.0018,-0.0019,-0.0022,-0.002,-0.0021,-0.0019,0.0127,0.0126,0.0126,0.0126,0.0125,0.0127,-0.0004,-0.0005,-0.0004,-0.0005,-0.0004,-0.0004,0.001,0.001,0.0008,0.0008,0.0007,0.0007
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0128,0.0126,0.0126,0.0127,0.0125,0.0128,-0.0004,-0.0005,-0.0004,-0.0005,-0.0004,-0.0004,0.001,0.001,0.0008,0.0008,0.0007,0.0007
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0128,0.0127,0.0127,0.0127,0.0126,0.0128,-0.0004,-0.0005,-0.0004,-0.0005,-0.0004,-0.0004,0.001,0.001,0.0008,0.0008,0.0007,0.0007
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0128,0.0127,0.0127,0.0128,0.0126,0.0129,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0004,0.001,0.001,0.0009,0.0008,0.0007,0.0007
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0129,0.0127,0.0127,0.0128,0.0126,0.0129,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0005,0.001,0.001,0.0009,0.0008,0.0007,0.0007
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0129,0.0127,0.0127,0.0127,0.0126,0.0129,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0005,0.001,0.001,0.0009,0.0008,0.0008,0.0007
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0129,0.0127,0.0127,0.0127,0.0126,0.0129,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0004,0.001,0.001,0.0009,0.0008,0.0008,0.0007
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0129,0.0127,0.0127,0.0127,0.0125,0.0128,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0004,0.001,0.001,0.0009,0.0008,0.0007,0.0007
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0129,0.0127,0.0127,0.0127,0.0125,0.0128,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0004,0.001,0.001,0.0009,0.0008,0.0007,0.0007
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0129,0.0127,0.0127,0.0127,0.0125,0.0128,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0004,0.001,0.001,0.0009,0.0008,0.0007,0.0007
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0129,0.0127,0.0127,0.0127,0.0126,0.0128,-0.0004,-0.0005,-0.0005,-0.0006,-0.0004,-0.0005,0.001,0.001,0.0009,0.0008,0.0007,0.0007
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0129,0.0127,0.0127,0.0127,0.0126,0.0129,-0.0004,-0.0005,-0.0005,-0.0006,-0.0004,-0.0005,0.001,0.001,0.0008,0.0008,0.0007,0.0006
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0129,0.0127,0.0127,0.0127,0.0126,0.0128,-0.0004,-0.0006,-0.0005,-0.0006,-0.0004,-0.0005,0.001,0.001,0.0008,0.0008,0.0007,0.0006
-0.0018,-0.0019,-0.0021,-0.002,-0.002,-0.0019,0.0129,0.0127,0.0127,0.0127,0.0126,0.0128,-0.0004,-0.0006,-0.0005,-0.0006,-0.0005,-0.0005,0.001,0.001,0.0008,0.0008,0.0007,0.0006
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0129,0.0127,0.0127,0.0127,0.0126,0.0129,-0.0004,-0.0005,-0.0005,-0.0006,-0.0005,-0.0005,0.001,0.001,0.0008,0.0008,0.0007,0.0007
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.013,0.0127,0.0127,0.0128,0.0126,0.0129,-0.0004,-0.0005,-0.0005,-0.0006,-0.0004,-0.0005,0.001,0.001,0.0009,0.0008,0.0007,0.0007
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.013,0.0128,0.0128,0.0128,0.0127,0.0129,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0004,0.001,0.001,0.0009,0.0008,0.0008,0.0007
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.013,0.0128,0.0128,0.0128,0.0127,0.013,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0004,0.001,0.001,0.0009,0.0009,0.0008,0.0007
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.002,0.013,0.0128,0.0128,0.0129,0.0127,0.013,-0.0004,-0.0006,-0.0005,-0.0005,-0.0004,-0.0005,0.001,0.001,0.0009,0.0009,0.0008,0.0007
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.002,0.013,0.0128,0.0128,0.0129,0.0127,0.013,-0.0004,-0.0006,-0.0005,-0.0006,-0.0004,-0.0005,0.001,0.001,0.0009,0.0009,0.0008,0.0007
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.002,0.013,0.0128,0.0128,0.0128,0.0127,0.013,-0.0004,-0.0006,-0.0005,-0.0006,-0.0004,-0.0005,0.001,0.001,0.0009,0.0008,0.0008,0.0007
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.002,0.0129,0.0127,0.0127,0.0128,0.0126,0.0129,-0.0004,-0.0006,-0.0005,-0.0006,-0.0005,-0.0005,0.001,0.001,0.0009,0.0008,0.0007,0.0007
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0129,0.0127,0.0127,0.0127,0.0126,0.0129,-0.0004,-0.0005,-0.0005,-0.0006,-0.0005,-0.0005,0.001,0.001,0.0009,0.0008,0.0007,0.0007
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0129,0.0127,0.0127,0.0127,0.0125,0.0128,-0.0004,-0.0005,-0.0005,-0.0006,-0.0005,-0.0005,0.001,0.001,0.0009,0.0008,0.0007,0.0007
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0128,0.0127,0.0126,0.0127,0.0125,0.0128,-0.0004,-0.0005,-0.0005,-0.0006,-0.0004,-0.0005,0.001,0.001,0.0008,0.0007,0.0006,0.0007
-0.0018,-0.0019,-0.0022,-0.002,-0.0021,-0.0019,0.0128,0.0127,0.0126,0.0126,0.0125,0.0128,-0.0004,-0.0005,-0.0005,-0.0006,-0.0004,-0.0005,0.001,0.001,0.0008,0.0007,0.0006,0.0007
-0.0018,-0.0019,-0.0022,-0.002,-0.0021,-0.0019,0.0127,0.0127,0.0127,0.0127,0.0125,0.0128,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0004,0.001,0.001,0.0008,0.0007,0.0006,0.0007
-0.0018,-0.0019,-0.0022,-0.002,-0.0021,-0.0019,0.0128,0.0127,0.0127,0.0127,0.0125,0.0128,-0.0004,-0.0004,-0.0004,-0.0005,-0.0004,-0.0004,0.001,0.001,0.0008,0.0007,0.0006,0.0007
-0.0019,-0.002,-0.0022,-0.002,-0.0021,-0.0019,0.0128,0.0127,0.0127,0.0127,0.0126,0.0129,-0.0004,-0.0004,-0.0004,-0.0005,-0.0004,-0.0004,0.001,0.001,0.0009,0.0007,0.0007,0.0007
-0.0019,-0.002,-0.0022,-0.0021,-0.0021,-0.0019,0.0129,0.0127,0.0128,0.0128,0.0126,0.0129,-0.0004,-0.0004,-0.0004,-0.0005,-0.0004,-0.0004,0.001,0.001,0.0009,0.0008,0.0007,0.0007
-0.0019,-0.002,-0.0022,-0.0021,-0.0021,-0.0019,0.013,0.0128,0.0128,0.0128,0.0127,0.0129,-0.0004,-0.0004,-0.0004,-0.0005,-0.0004,-0.0004,0.001,0.001,0.0009,0.0008,0.0008,0.0007
-0.0019,-0.002,-0.0022,-0.002,-0.0021,-0.0019,0.0131,0.0128,0.0129,0.0129,0.0127,0.013,-0.0004,-0.0005,-0.0004,-0.0005,-0.0004,-0.0004,0.001,0.001,0.0009,0.0009,0.0008,0.0007
-0.0019,-0.002,-0.0022,-0.002,-0.0021,-0.0019,0.0132,0.0129,0.0129,0.0129,0.0128,0.013,-0.0004,-0.0005,-0.0004,-0.0005,-0.0004,-0.0004,0.001,0.001,0.0009,0.0009,0.0009,0.0007
-0.0019,-0.002,-0.0022,-0.002,-0.0021,-0.002,0.0133,0.0129,0.013,0.013,0.0129,0.0131,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0005,0.001,0.001,0.001,0.001,0.0009,0.0007
-0.0019,-0.002,-0.0021,-0.002,-0.0022,-0.002,0.0135,0.013,0.0131,0.0131,0.013,0.0133,-0.0005,-0.0006,-0.0005,-0.0006,-0.0004,-0.0005,0.001,0.001,0.001,0.001,0.001,0.0007
-0.0019,-0.002,-0.0021,-0.002,-0.0022,-0.0021,0.0135,0.013,0.0131,0.0132,0.0131,0.0134,-0.0005,-0.0007,-0.0006,-0.0006,-0.0005,-0.0005,0.001,0.001,0.001,0.001,0.001,0.0008
-0.0018,-0.002,-0.0021,-0.002,-0.0022,-0.0021,0.0135,0.013,0.0131,0.0132,0.0131,0.0133,-0.0005,-0.0007,-0.0006,-0.0006,-0.0005,-0.0005,0.001,0.001,0.001,0.0011,0.001,0.0008
-0.0018,-0.002,-0.0021,-0.002,-0.0022,-0.0021,0.0133,0.0129,0.013,0.013,0.013,0.0132,-0.0005,-0.0007,-0.0006,-0.0006,-0.0005,-0.0005,0.0011,0.0011,0.001,0.001,0.001,0.0007
-0.0018,-0.002,-0.0021,-0.002,-0.0022,-0.002,0.0132,0.0128,0.0129,0.0129,0.0128,0.0131,-0.0005,-0.0007,-0.0006,-0.0006,-0.0005,-0.0005,0.0011,0.0011,0.001,0.001,0.0009,0.0007
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.002,0.0132,0.0128,0.0128,0.0129,0.0128,0.013,-0.0005,-0.0006,-0.0006,-0.0006,-0.0005,-0.0005,0.0011,0.0011,0.001,0.0009,0.0009,0.0007
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0132,0.0128,0.0128,0.0129,0.0128,0.0131,-0.0005,-0.0006,-0.0005,-0.0006,-0.0005,-0.0005,0.0011,0.001,0.0009,0.0009,0.0008,0.0007
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0132,0.0128,0.0128,0.0129,0.0128,0.0131,-0.0004,-0.0006,-0.0005,-0.0006,-0.0004,-0.0005,0.0011,0.001,0.0009,0.0009,0.0008,0.0007
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0131,0.0128,0.0128,0.0129,0.0128,0.013,-0.0004,-0.0006,-0.0005,-0.0006,-0.0004,-0.0005,0.0011,0.001,0.0009,0.0009,0.0008,0.0007
