Created as New Dataset,Sample 044 By Analyst Date Wednesday, April 02 2025
cm-1,A
4000.00,-0.1175
3998.00,-0.1175
3996.00,-0.1175
3994.00,-0.1175
3992.00,-0.1175
3990.00,-0.1175
3988.00,-0.1175
3986.00,-0.1174
3984.00,-0.1174
3982.00,-0.1173
3980.00,-0.1173
3978.00,-0.1172
3976.00,-0.1172
3974.00,-0.1171
3972.00,-0.1171
3970.00,-0.1171
3968.00,-0.1171
3966.00,-0.1171
3964.00,-0.1171
3962.00,-0.1171
3960.00,-0.1171
3958.00,-0.1171
3956.00,-0.1171
3954.00,-0.1171
3952.00,-0.1170
3950.00,-0.1169
3948.00,-0.1168
3946.00,-0.1167
3944.00,-0.1167
3942.00,-0.1168
3940.00,-0.1169
3938.00,-0.1168
3936.00,-0.1168
3934.00,-0.1166
3932.00,-0.1167
3930.00,-0.1167
3928.00,-0.1167
3926.00,-0.1166
3924.00,-0.1166
3922.00,-0.1165
3920.00,-0.1163
3918.00,-0.1163
3916.00,-0.1163
3914.00,-0.1164
3912.00,-0.1165
3910.00,-0.1165
3908.00,-0.1164
3906.00,-0.1162
3904.00,-0.1158
3902.00,-0.1156
3900.00,-0.1156
3898.00,-0.1159
3896.00,-0.1161
3894.00,-0.1162
3892.00,-0.1163
3890.00,-0.1162
3888.00,-0.1160
3886.00,-0.1156
3884.00,-0.1158
3882.00,-0.1156
3880.00,-0.1157
3878.00,-0.1159
3876.00,-0.1158
3874.00,-0.1158
3872.00,-0.1160
3870.00,-0.1155
3868.00,-0.1156
3866.00,-0.1154
3864.00,-0.1155
3862.00,-0.1158
3860.00,-0.1157
3858.00,-0.1160
3856.00,-0.1163
3854.00,-0.1157
3852.00,-0.1152
3850.00,-0.1150
3848.00,-0.1152
3846.00,-0.1155
3844.00,-0.1156
3842.00,-0.1155
3840.00,-0.1155
3838.00,-0.1152
3836.00,-0.1151
3834.00,-0.1151
3832.00,-0.1153
3830.00,-0.1155
3828.00,-0.1155
3826.00,-0.1155
3824.00,-0.1154
3822.00,-0.1149
3820.00,-0.1150
3818.00,-0.1151
3816.00,-0.1148
3814.00,-0.1153
3812.00,-0.1153
3810.00,-0.1156
3808.00,-0.1155
3806.00,-0.1153
3804.00,-0.1153
3802.00,-0.1149
3800.00,-0.1151
3798.00,-0.1150
3796.00,-0.1151
3794.00,-0.1155
3792.00,-0.1155
3790.00,-0.1157
3788.00,-0.1157
3786.00,-0.1156
3784.00,-0.1156
