Created as New Dataset,Sample 027 By Analyst Date Wednesday, April 02 2025
cm-1,A
4000.00,-0.0640
3998.00,-0.0640
3996.00,-0.0639
3994.00,-0.0639
3992.00,-0.0639
3990.00,-0.0638
3988.00,-0.0638
3986.00,-0.0638
3984.00,-0.0638
3982.00,-0.0638
3980.00,-0.0638
3978.00,-0.0638
3976.00,-0.0638
3974.00,-0.0639
3972.00,-0.0639
3970.00,-0.0639
3968.00,-0.0639
3966.00,-0.0639
3964.00,-0.0639
3962.00,-0.0639
3960.00,-0.0639
3958.00,-0.0638
3956.00,-0.0638
3954.00,-0.0638
3952.00,-0.0638
3950.00,-0.0638
3948.00,-0.0639
3946.00,-0.0639
3944.00,-0.0639
3942.00,-0.0639
3940.00,-0.0640
3938.00,-0.0640
3936.00,-0.0640
3934.00,-0.0640
3932.00,-0.0639
3930.00,-0.0639
3928.00,-0.0639
3926.00,-0.0638
3924.00,-0.0638
3922.00,-0.0638
3920.00,-0.0638
3918.00,-0.0638
3916.00,-0.0637
3914.00,-0.0637
3912.00,-0.0637
3910.00,-0.0638
3908.00,-0.0639
3906.00,-0.0639
3904.00,-0.0639
3902.00,-0.0639
3900.00,-0.0638
3898.00,-0.0637
3896.00,-0.0637
3894.00,-0.0637
3892.00,-0.0636
3890.00,-0.0638
3888.00,-0.0638
3886.00,-0.0637
3884.00,-0.0638
3882.00,-0.0638
3880.00,-0.0637
3878.00,-0.0639
3876.00,-0.0638
3874.00,-0.0639
3872.00,-0.0640
3870.00,-0.0638
3868.00,-0.0640
3866.00,-0.0638
3864.00,-0.0637
3862.00,-0.0637
3860.00,-0.0637
3858.00,-0.0639
3856.00,-0.0642
3854.00,-0.0640
3852.00,-0.0640
3850.00,-0.0640
3848.00,-0.0638
3846.00,-0.0638
3844.00,-0.0639
3842.00,-0.0640
3840.00,-0.0641
3838.00,-0.0640
3836.00,-0.0640
3834.00,-0.0639
3832.00,-0.0637
3830.00,-0.0637
3828.00,-0.0637
3826.00,-0.0637
3824.00,-0.0639
3822.00,-0.0637
3820.00,-0.0639
3818.00,-0.0639
3816.00,-0.0636
3814.00,-0.0637
3812.00,-0.0637
3810.00,-0.0637
3808.00,-0.0636
3806.00,-0.0637
3804.00,-0.0639
3802.00,-0.0636
3800.00,-0.0637
3798.00,-0.0637
3796.00,-0.0635
3794.00,-0.0635
3792.00,-0.0635
3790.00,-0.0635
3788.00,-0.0635
3786.00,-0.0636
3784.00,-0.0636
3782.00,-0.0637
3780.00,-0.0636
3778.00,-0.0636
3776.00,-0.0636
3774.00,-0.0636
3772.00,-0.0637
3770.00,-0.0636
3768.00,-0.0637
3766.00,-0.0636
3764.00,-0.0636
3762.00,-0.0637
3760.00,-0.0636
3758.00,-0.0637
3756.00,-0.0639
3754.00,-0.0640
3752.00,-0.0641
3750.00,-0.0640
3748.00,-0.0642
3746.00,-0.0640
3744.00,-0.0636
3742.00,-0.0639
3740.00,-0.0637
3738.00,-0.0637
3736.00,-0.0637
3734.00,-0.0638
3732.00,-0.0637
3730.00,-0.0636
3728.00,-0.0635
3726.00,-0.0634
3724.00,-0.0635
3722.00,-0.0635
3720.00,-0.0635
3718.00,-0.0635
3716.00,-0.0635
3714.00,-0.0635
3712.00,-0.0634
3710.00,-0.0634
3708.00,-0.0633
3706.00,-0.0633
3704.00,-0.0633
3702.00,-0.0632
3700.00,-0.0632
3698.00,-0.0632
3696.00,-0.0631
3694.00,-0.0632
3692.00,-0.0634
3690.00,-0.0634
3688.00,-0.0634
3686.00,-0.0634
3684.00,-0.0632
3682.00,-0.0632
3680.00,-0.0633
3678.00,-0.0634
3676.00,-0.0632
3674.00,-0.0634
3672.00,-0.0633
3670.00,-0.0631
3668.00,-0.0632
3666.00,-0.0631
3664.00,-0.0630
3662.00,-0.0630
3660.00,-0.0632
3658.00,-0.0633
3656.00,-0.0633
3654.00,-0.0635
3652.00,-0.0636
3650.00,-0.0635
3648.00,-0.0635
3646.00,-0.0635
3644.00,-0.0633
3642.00,-0.0632
3640.00,-0.0633
3638.00,-0.0633
3636.00,-0.0633
3634.00,-0.0634
3632.00,-0.0636
3630.00,-0.0635
3628.00,-0.0635
3626.00,-0.0636
3624.00,-0.0636
3622.00,-0.0638
3620.00,-0.0638
3618.00,-0.0638
3616.00,-0.0638
3614.00,-0.0636
3612.00,-0.0636
3610.00,-0.0635
3608.00,-0.0635
3606.00,-0.0635
3604.00,-0.0636
3602.00,-0.0636
3600.00,-0.0636
3598.00,-0.0637
3596.00,-0.0637
3594.00,-0.0637
3592.00,-0.0638
3590.00,-0.0638
3588.00,-0.0638
3586.00,-0.0637
3584.00,-0.0637
3582.00,-0.0636
3580.00,-0.0636
3578.00,-0.0636
3576.00,-0.0636
3574.00,-0.0637
3572.00,-0.0637
3570.00,-0.0638
3568.00,-0.0638
3566.00,-0.0638
3564.00,-0.0638
3562.00,-0.0638
3560.00,-0.0638
3558.00,-0.0638
3556.00,-0.0638
3554.00,-0.0638
3552.00,-0.0637
3550.00,-0.0638
3548.00,-0.0637
3546.00,-0.0636
3544.00,-0.0636
3542.00,-0.0636
3540.00,-0.0636
3538.00,-0.0636
3536.00,-0.0636
3534.00,-0.0637
3532.00,-0.0637
3530.00,-0.0637
3528.00,-0.0637
3526.00,-0.0637
3524.00,-0.0637
3522.00,-0.0637
3520.00,-0.0637
3518.00,-0.0636
3516.00,-0.0636
3514.00,-0.0636
3512.00,-0.0637
3510.00,-0.0637
3508.00,-0.0637
3506.00,-0.0637
3504.00,-0.0638
3502.00,-0.0638
3500.00,-0.0638
3498.00,-0.0638
3496.00,-0.0638
3494.00,-0.0638
3492.00,-0.0638
3490.00,-0.0638
3488.00,-0.0638
3486.00,-0.0638
3484.00,-0.0638
3482.00,-0.0638
3480.00,-0.0638
3478.00,-0.0638
3476.00,-0.0638
3474.00,-0.0638
3472.00,-0.0639
3470.00,-0.0639
3468.00,-0.0639
3466.00,-0.0639
3464.00,-0.0639
3462.00,-0.0639
3460.00,-0.0639
3458.00,-0.0638
3456.00,-0.0638
3454.00,-0.0638
3452.00,-0.0638
3450.00,-0.0637
3448.00,-0.0637
3446.00,-0.0637
3444.00,-0.0638
3442.00,-0.0638
3440.00,-0.0638
3438.00,-0.0638
3436.00,-0.0638
3434.00,-0.0638
3432.00,-0.0638
3430.00,-0.0638
3428.00,-0.0638
3426.00,-0.0638
3424.00,-0.0638
3422.00,-0.0637
3420.00,-0.0637
3418.00,-0.0637
3416.00,-0.0637
3414.00,-0.0638
3412.00,-0.0638
3410.00,-0.0638
3408.00,-0.0638
3406.00,-0.0638
3404.00,-0.0638
3402.00,-0.0638
3400.00,-0.0638
3398.00,-0.0638
3396.00,-0.0638
3394.00,-0.0637
3392.00,-0.0637
3390.00,-0.0637
3388.00,-0.0637
3386.00,-0.0637
3384.00,-0.0637
3382.00,-0.0637
3380.00,-0.0638
3378.00,-0.0638
3376.00,-0.0638
3374.00,-0.0638
3372.00,-0.0638
3370.00,-0.0638
3368.00,-0.0637
3366.00,-0.0637
3364.00,-0.0637
3362.00,-0.0636
3360.00,-0.0636
3358.00,-0.0636
3356.00,-0.0636
3354.00,-0.0636
3352.00,-0.0636
3350.00,-0.0636
3348.00,-0.0636
3346.00,-0.0636
3344.00,-0.0636
3342.00,-0.0637
3340.00,-0.0637
3338.00,-0.0637
3336.00,-0.0637
3334.00,-0.0637
3332.00,-0.0637
3330.00,-0.0636
3328.00,-0.0636
3326.00,-0.0636
3324.00,-0.0636
3322.00,-0.0637
3320.00,-0.0637
3318.00,-0.0637
3316.00,-0.0637
3314.00,-0.0638
3312.00,-0.0638
3310.00,-0.0638
3308.00,-0.0639
3306.00,-0.0639
3304.00,-0.0639
3302.00,-0.0638
3300.00,-0.0638
3298.00,-0.0638
3296.00,-0.0638
3294.00,-0.0638
3292.00,-0.0638
3290.00,-0.0638
3288.00,-0.0638
